ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,4954.452051911037
ID_-23.53_27.47_2019_2,17356.7420699019
ID_-23.53_27.47_2019_3,8205.052158141509
ID_-23.53_27.47_2019_4,14283.553126166575
ID_-23.53_27.47_2019_5,1923.0527743203565
ID_-23.53_27.47_2019_6,-1663.3163751834072
ID_-23.53_27.47_2019_7,17072.025773785077
ID_-23.53_27.47_2019_8,15067.960050312802
ID_-23.53_27.47_2019_9,12102.9474292472
ID_-23.53_27.47_2019_10,4387.24283901928
ID_-23.53_27.47_2019_11,20668.049951925874
ID_-23.53_27.47_2019_12,17502.472383767832
ID_-23.53_27.47_2019_13,10439.110167762265
ID_-23.53_27.47_2019_14,5492.668371686712
ID_-23.53_27.47_2019_15,-3755.2938324315473
ID_-23.53_27.47_2019_16,6161.650296124164
ID_-23.53_27.47_2019_17,7214.3931941571645
ID_-23.53_27.47_2019_18,40804.906400306616
ID_-23.53_27.47_2019_19,38359.78366952855
ID_-23.53_27.47_2019_20,10035.538110263646
ID_-23.53_27.47_2019_21,31996.132850449998
ID_-23.53_27.47_2019_22,63538.33124272246
ID_-23.53_27.47_2019_23,68995.58317482565
ID_-23.53_27.47_2019_24,45936.91914821835
ID_-23.53_27.47_2019_25,12052.014023535885
ID_-23.53_27.47_2019_26,18568.16033013258
ID_-23.53_27.47_2019_27,20990.818235540763
ID_-23.53_27.47_2019_28,8838.061674361117
ID_-23.53_27.47_2019_29,34148.14438485913
ID_-23.53_27.47_2019_30,29722.57418581331
ID_-23.53_27.47_2019_31,55163.81614710344
ID_-23.53_27.47_2019_32,52664.93151081959
ID_-23.53_27.47_2019_33,12365.986878472846
ID_-23.53_27.47_2019_34,79964.66576830857
ID_-23.53_27.47_2019_35,75365.1329855402
ID_-23.53_27.47_2019_36,5526.598131551407
ID_-23.53_27.47_2019_37,5804.248690203298
ID_-23.53_27.47_2019_38,8852.472758846357
ID_-23.53_27.47_2019_39,7540.166440335102
ID_-23.53_27.47_2019_40,11608.434596689418
ID_-23.53_27.47_2019_41,5335.612682612147
ID_-23.53_27.47_2019_42,8845.556912811939
ID_-23.53_27.47_2019_43,12078.603188420646
ID_-23.53_27.47_2019_44,33852.36457972322
ID_-23.53_27.47_2019_45,33997.83398011094
ID_-23.53_27.47_2019_46,22526.030538996216
ID_-23.53_27.47_2019_47,26159.816180247348
ID_-23.53_27.47_2019_48,8348.407505150419
ID_-23.53_27.47_2019_49,12866.846974865533
ID_-23.53_27.47_2019_50,9782.75674894685
ID_-23.53_27.47_2019_51,3894.310683367774
ID_-23.53_27.47_2019_52,7200.057271437254
ID_-23.53_27.47_2020_1,27132.711801641155
ID_-23.53_27.47_2020_2,28056.12858483102
ID_-23.53_27.47_2020_3,26463.99566722475
ID_-23.53_27.47_2020_4,30685.288553493097
ID_-23.53_27.47_2020_5,13825.397580905352
ID_-23.53_27.47_2020_6,9883.662296095397
ID_-23.53_27.47_2020_7,7012.183535338845
ID_-23.53_27.47_2020_8,9769.466400181875
ID_-23.53_27.47_2020_9,-2126.2843020367436
ID_-23.53_27.47_2020_10,3932.8759266813286
ID_-23.53_27.47_2020_11,18450.01584422961
ID_-23.53_27.47_2020_12,28150.89874049928
ID_-23.53_27.47_2020_13,27730.142773525324
ID_-23.53_27.47_2020_14,-1171.9101360533386
ID_-23.53_27.47_2020_15,-8067.680778167676
ID_-23.53_27.47_2020_16,1946.3240273841657
ID_-23.53_27.47_2020_17,32678.361518360674
ID_-23.53_27.47_2020_18,40455.318435021676
ID_-23.53_27.47_2020_19,35269.00463962881
ID_-23.53_27.47_2020_20,57030.94965175167
ID_-23.53_27.47_2020_21,31493.095841427334
ID_-23.53_27.47_2020_22,7121.515444886405
ID_-23.53_27.47_2020_23,16870.369893543888
ID_-23.53_27.47_2020_24,12300.981109887362
